name,brand,category,description,unit,quantity,servings,flavors,benefits,allergens,certifications,dosage,priceRetail,pricePurchase,priceWholesale,priceSlashed,stock,featured,metaTitle,metaDescription
Behemoth Pre-Workout - 500g,Real Pharm,pre-workout,"Behemoth Pre-Workout - 500g de Real Pharm, booster pré-entraînement pour une énergie explosive, un focus mental accru et une endurance prolongée pendant vos séances.",gramme,500,50,,Énergie explosive immédiate caféine 300mg|Concentration focus maximum Tyrosine|Pump vasculaire intense Citrulline 2g|Endurance augmentée Bêta-alanine tampon lactate|Réduction fatigue sensorielle Taurine|Antioxydants protection Thé Vert,Traces possibles: gluten soja (atelier). .,,"10-20g (1-2 dosettes) dans 200ml eau, 30min AVANT training. Commencer 10g tester tolérance. Maximum 20g/jour ne pas dépasser.",85,45,65,,100,true,Behemoth Pre-Workout - 500g | Real Pharm | Dodo Nutrition,Behemoth Pre-Workout - 500g de Real Pharm. Pre-workout de qualité pour vos objectifs fitness. Livraison rapide partout en Tunisie.
Real Viking - 360g,Real Pharm,pre-workout,"Real Viking - 360g de Real Pharm, booster pré-entraînement pour une énergie explosive, un focus mental accru et une endurance prolongée pendant vos séances.",gramme,360,30,Maracuja,AAKG circulation production NO maximale|20 ingrédients énergie multisource complète|Pump vasculaire intense congestion musculaire|Caféine naturelle guarana énergie sans crash|Antioxydants flavonoides cacao protection cellulaire|Thermogenèse orange amère dépense énergétique,Contient: Synéphrine (orange amère) . Traces possibles: gluten soja. .,,"6-12g dans 200-250ml eau, 15-20min AVANT training. Commencer 6g tester tolérance avant augmenter 12g. Maximum 12g/jour ne pas dépasser.",70,40,55,,100,false,Real Viking - 360g | Real Pharm | Dodo Nutrition,Real Viking - 360g de Real Pharm. Pre-workout de qualité pour vos objectifs fitness. Livraison rapide partout en Tunisie.
Testobooster Gold Edition - 180 Capsules,Real Pharm,boosters,"Testobooster Gold Edition - 180 Capsules de Real Pharm, booster naturel pour optimiser vos niveaux hormonaux, votre vitalité et vos performances physiques. Ingrédients naturels concentrés.",gélule,180,30,,DAA augmente testostérone 40% études|Tribulus libido force performance|Fenugrec balance hormonale anabolisme|Maca énergie vitalité sexuelle|Zinc testostérone immunité|Magnésium récupération musculaire,"CONTIENT: Gélatine. Traces possibles: GLUTEN, SOJA, LAIT. .",,1 à 6 gélules/jour avec repas. Minimum 1-2 gélules/jour maintenance. Maximum 6 gélules/jour intensif. Cure minimum 4-6 semaines résultats.,100,55,80,,100,false,Testobooster Gold Edition - 180 Capsules | Real Pharm,Testobooster Gold Edition - 180 Capsules de Real Pharm. Booster hormonal de qualité pour vos objectifs fitness. Livraison rapide partout en Tunisie.
L-Carnitine Green Tea + CLA - 90 Capsules,Real Pharm,bruleurs,L-Carnitine Green Tea + CLA de Real Pharm est le brûleur de graisse efficace pour accélérer votre perte de poids et révéler vos muscles.,gélule,90,45,,L-Carnitine oxydation lipides mitochondries|Thé Vert 40% polyphénols thermogenèse|EGCG 7% énergie métabolisme|CLA limite stockage graisse|Triple action synergique complémentaire|Préserve masse musculaire sèche,CONTIENT: Gélatine bovine. Traces: gluten soja lait. .,EFSA,2 gélules/jour (1 matin + 1 soir). Ne pas dépasser 2/jour. Prendre avec repas contenant lipides (absorption optimale). Cure minimum 8-12 semaines résultats visibles.,80,45,60,,100,false,L-Carnitine Green Tea + CLA - 90 Capsules | Real Pharm,L-Carnitine Green Tea + CLA - 90 Capsules de Real Pharm. Brûleur de graisse de qualité pour vos objectifs fitness. Livraison rapide partout en Tunisie.
Isolate Pro - 2000g,GSN,proteines,"Isolate Pro - 2000g de GSN est une protéine premium pour la croissance et la récupération musculaire. Formule riche en acides aminés essentiels, idéale après l'entraînement.",kilogramme,2,67,Vanille|Chocolat|Fraise|Cookies & Cream,Croissance musculaire (+15-20% synthèse protéique vs concentré étude IJSPP)|Récupération accélérée (-40% courbatures jour+1 BCAA L-Leucine)|Définition musculaire ultra-nette adiposité minimale 113cal|Assimilation rapide 60-90min window post-workout optimal|Satiété protéique réduction appétit 27g/dose|Performance force sans fatigue BCAA anti-catabolisme,"Contient: Lait, Soja (lécithine) | Sans: Gluten",GMP|GMP Certified|Informed Choice|GMO Free,1-3 doses quotidiennes. Dose standard 1x par jour post-workout immédiat 30g poudre. Intensité élevée 2-3 doses: dose petit-déjeuner 30g + post-workout 30g + soirée optionnel 30g avant sommeil (protéines lentes caséine préférée nuit).,340,185,265,,100,true,Isolate Pro - 2000g | GSN | Dodo Nutrition,Isolate Pro - 2000g de GSN est une protéine premium pour la croissance et la récupération musculaire. Livraison rapide en Tunisie.
Multi Vitamins - 30 Capsules,GSN,vitamines,"Multi Vitamins 30 caps de GSN offre une formule complète de vitamines et minéraux essentiels pour soutenir votre santé globale, votre système immunitaire et optimiser vos performances sportives. Indispensable pour les athlètes qui s'entraînent intensément et ont des besoins nutritionnels accrus.",capsule,30,30,,Performance énergétique (+12-18% capacité aérobie Zinc+Fe étude sportifs)|Synthèse protéine musculaire (+22% avec Zinc optimal vs carence étude Nutrition Reviews)|Récupération testostérone +15-20% Zinc dosage clinique 30mg|Immunité augmentée 40-50% réduction infections post-entraînement intensif Zinc+C ||Métabolisme énergétique optimisé B-complex cofacteurs ATP Krebs cycle|Focus mental concentration dopamine sérotonine (B6 B12 acides aminés),"Peut contenir: Soja | Sans: Gluten, Sucre",GMP|GMP Certified|Vegan,"1 capsule quotidienne suffisante. Prendre 1 gélule/jour avec repas principal (petit-déjeuner idéal) absorption lipides-soluble A, liposolubilité A-C absorption optimale chylos intestinaux. Cure minimale 60 jours résultats tangibles système immunitaire énergie.",30,15,25,,100,true,Multi Vitamins - 30 Capsules | GSN | Dodo Nutrition,Multi Vitamins - 30 Capsules de GSN. Vitamines et minéraux de qualité pour vos objectifs fitness. Livraison rapide partout en Tunisie.
Creatine Monohydrate - 500g,Real Pharm,creatine,"Creatine Monohydrate - 500g de Real Pharm, créatine pure pour augmenter la force, la puissance et les performances musculaires. Le supplément le plus étudié scientifiquement.",gramme,500,100,,100% pure sans additifs|Pureté 99.9% certifiée|Micronisée absorption ultra-rapide|Augmente force 15-20%|Énergie ATP optimale|Récupération accélérée,Aucun allergène. Traces gluten possible atelier.,GMP|EFSA,5g dissolue 200ml eau 1x/jour. Phase charge: 20g/jour 7j puis 5g/jour.,55,30,45,,100,true,Creatine Monohydrate - 500g | Real Pharm | Dodo Nutrition,Creatine Monohydrate - 500g de Real Pharm. Créatine de qualité pour vos objectifs fitness. Livraison rapide partout en Tunisie.
Creatine Monohydrate - 300g,Real Pharm,creatine,"Creatine Monohydrate de Real Pharm est le complément incontournable pour augmenter votre force, votre puissance et vos performances à l'entraînement.",gramme,300,60,,100% créatine monohydrate pure sans additif|Micronisée 200 Mesh dissolution ultra-rapide < 2min|Pureté 99.9% certifiée laboratoire garantie|Augmente force 15-20% ATP resynthèse validé étude|Absorption 90%+ accumulation musculaire progressive|Format 300g économique 60 doses découverte,identifié (créatine synthétique pure). Traces possibles: GLUTEN (atelier partagé équipement). .,GMP|ISO 9001|EFSA,"5g (1 cuillère doseuse) dissous 200ml eau 1x/jour. Phase charge optionnelle: 20g/jour (4×5g espaces 4-5h) jours 1-7, puis 5g/jour maintenance. Cure minimum 4-6 semaines résultats notables, optimal 8-12 semaines force maximale, longue durée sécurisée 20+ ans études.",45,25,35,,100,false,Creatine Monohydrate - 300g | Real Pharm | Dodo Nutrition,Creatine Monohydrate - 300g de Real Pharm. Créatine de qualité pour vos objectifs fitness. Livraison rapide partout en Tunisie.
Creatine Monohydrate - 150g,Real Pharm,creatine,"Creatine Monohydrate - 150g de Real Pharm, créatine pure pour augmenter la force, la puissance et les performances musculaires. Le supplément le plus étudié scientifiquement.",gramme,150,30,,100% créatine pur|Format très petit découverte essai|Composition identique formats plus gros|Pureté 99.9% garantie|Prix entrée bas découverte,Aucun allergène. Traces gluten possible atelier.,GMP|ISO 9001|EFSA,"5g/jour, 30 doses = 30 jours cure minimum.",35,20,25,,100,false,Creatine Monohydrate - 150g | Real Pharm | Dodo Nutrition,Creatine Monohydrate - 150g de Real Pharm. Créatine de qualité pour vos objectifs fitness. Livraison rapide partout en Tunisie.
Zinc Bisglycinate - 30 Capsules,GSN,vitamines,"Zinc Bisglycinate - 30 Capsules de GSN pour soutenir votre santé globale, votre immunité et vos performances sportives. Formule complète en vitamines et minéraux essentiels.",gélule,30,30,,Immunité renforcée défense infection|Production testostérone libido masculine|Cognition mémoire concentration focus|Santé peau cheveux ongles|Reproduction fertilité soutenue|Cicatrisation accélérée,"(zinc minéral pur). Traces: gluten, soja.",GMP|ISO 9001,"1 gélule quotidien avec repas. Minimum 4 semaines résultats, optimal 8-12 semaines",30,15,25,,100,false,Zinc Bisglycinate - 30 Capsules | GSN | Dodo Nutrition,"Zinc Bisglycinate - 30 Capsules de GSN pour soutenir votre santé globale, votre immunité et vos performances sportives. Livraison rapide en Tunisie."
